Entity,Code,Year,"Upper secondary school age, female","Upper secondary school age, male","Lower secondary school age, female","Lower secondary school age, male","Primary school age, female","Primary school age, male"
Lesotho,LSO,1970,,,,,25926,52782
Lesotho,LSO,1972,,,8074,,31390,57655
Lesotho,LSO,1973,,,5180,17955,32338,57946
Lesotho,LSO,1974,,,,,23406,51874
Lesotho,LSO,1976,,,,,23395,53130
Lesotho,LSO,1977,,,10744,22728,22493,53703
Lesotho,LSO,1978,,,2470,18914,32364,61177
Lesotho,LSO,1979,,,3385,19195,31153,61732
Lesotho,LSO,1980,,,4294,21022,32330,61840
Lesotho,LSO,1981,,,4140,19340,34076,62134
Lesotho,LSO,1982,,,4003,18589,29835,58211
Lesotho,LSO,1983,,,2258,17374,32189,60035
Lesotho,LSO,1984,,,6768,20182,31871,60259
Lesotho,LSO,1985,,,4587,18833,29259,58042
Lesotho,LSO,1986,,,5696,21371,29443,58218
Lesotho,LSO,1987,,,,,26763,56955
Lesotho,LSO,1988,,,,,25268,55837
Lesotho,LSO,1989,,,,,27232,57470
Lesotho,LSO,1990,,,,,30385,59766
Lesotho,LSO,1991,,,1272,21240,27811,58671
Lesotho,LSO,1992,,,1240,20805,28131,58628
Lesotho,LSO,1993,,,3548,21732,33437,62430
Lesotho,LSO,1994,,,3015,20244,32968,59907
Lesotho,LSO,1995,,,,,36838,60265
Lesotho,LSO,1996,,,3035,19042,36764,60421
Lesotho,LSO,1998,10201,18274,5925,19423,54110,72407
Lesotho,LSO,1999,9440,15274,2943,18028,62248,77952
Lesotho,LSO,2000,18092,20439,6698,18597,27285,41103
Lesotho,LSO,2001,18153,19003,5450,14905,27434,40823
Lesotho,LSO,2002,17914,19349,5213,14130,27661,39783
Lesotho,LSO,2003,16819,18274,2739,12249,28056,39895
Lesotho,LSO,2004,14127,15785,3846,12640,33402,43975
Lesotho,LSO,2005,14207,17251,3221,11190,35396,45659
Lesotho,LSO,2006,15034,18010,4849,13232,35537,45171
Lesotho,LSO,2007,16592,20003,8752,16769,40915,48882
Lesotho,LSO,2008,16564,20843,10085,17117,38388,46870
Lesotho,LSO,2009,16552,21294,10102,18812,36482,45699
Lesotho,LSO,2010,15030,20036,11045,19088,33169,40595
Lesotho,LSO,2011,17177,20972,12593,20254,30629,36701
Lesotho,LSO,2012,18518,22326,13893,20794,27745,34091
Lesotho,LSO,2013,,,,,30561,37695
Lesotho,LSO,2014,20113,24502,13578,20747,29707,36174
Liberia,LBR,1999,,,,,122040,99803
Liberia,LBR,2006,,,,,168727,173832
Liberia,LBR,2008,,,,,167352,164817
Liberia,LBR,2009,,,,,183644,179817
Liberia,LBR,2011,,,,,194833,194426
Liberia,LBR,2014,,,,,220411,222044
Libya,LBY,1971,,,,,60104,10983
Libya,LBY,1972,,,,,45339,987
Libya,LBY,1978,,,,,22514,7591
Libya,LBY,1980,,,26432,1961,,
Libya,LBY,1981,,,25285,3279,,
Libya,LBY,1983,,,28840,1113,,
Liechtenstein,LIE,2003,,,42,66,,
Liechtenstein,LIE,2008,110,18,62,28,,
Liechtenstein,LIE,2009,,,63,19,,
Liechtenstein,LIE,2010,,,74,26,,
Liechtenstein,LIE,2011,,,74,16,,
Liechtenstein,LIE,2012,,,68,24,,
Liechtenstein,LIE,2014,,,,,18,29
Lithuania,LTU,1998,11375,14890,427,493,2328,2304
Lithuania,LTU,1999,8852,13558,,,2134,2299
Lithuania,LTU,2000,8231,12238,,,2062,2262
Lithuania,LTU,2001,3802,7532,,,2142,1751
Lithuania,LTU,2002,1565,4619,,,2031,1769
Lithuania,LTU,2003,297,2511,,,3490,3920
Lithuania,LTU,2004,,,,,6797,7175
Lithuania,LTU,2005,,,,,6840,8094
Lithuania,LTU,2006,10,2814,1985,1806,5179,5815
Lithuania,LTU,2007,1333,4279,3399,3577,2484,3052
Lithuania,LTU,2008,136,3258,6137,6880,774,685
Lithuania,LTU,2009,,,7976,8841,426,533
Lithuania,LTU,2010,,,8662,9119,363,485
Lithuania,LTU,2011,1075,2323,6600,7196,1059,1106
Lithuania,LTU,2012,4656,5536,3085,3263,654,948
Lithuania,LTU,2013,4627,5698,645,793,77,215
Lithuania,LTU,2014,2939,4026,,,66,495
Low & middle income,,1970,,,,,74386072,42145960
Low & middle income,,1971,,,,,77235136,42794672
Low & middle income,,1972,,,,,76382496,42207504
Low & middle income,,1973,,,,,71140856,40477924
Low & middle income,,1974,,,,,70235496,40471980
Low & middle income,,1975,,,,,67752840,39944760
Low & middle income,,1976,,,,,67713208,39556176
Low & middle income,,1977,,,,,70788784,38936008
Low & middle income,,1978,,,,,77497192,40235888
Low & middle income,,1979,,,,,78224368,39493224
Low & middle income,,1980,,,,,76381440,38417524
Low & middle income,,1981,,,,,74289760,37550456
Low & middle income,,1982,,,,,73531752,37307728
Low & middle income,,1983,,,,,72757800,37064056
Low & middle income,,1984,,,,,71454688,37214496
Low & middle income,,1985,,,,,68313744,37251144
Low & middle income,,1986,,,,,64716456,37077716
Low & middle income,,1987,,,,,63520856,37456996
Low & middle income,,1988,,,,,61287776,37115664
Low & middle income,,1989,,,,,60269008,36914608
Low & middle income,,1990,,,,,61295768,37570260
Low & middle income,,1991,,,,,61045064,37644656
Low & middle income,,1992,,,,,61908692,38389328
Low & middle income,,1993,,,,,61720136,39533836
Low & middle income,,1994,,,,,61740472,40792736
Low & middle income,,1995,,,,,63616608,42977116
Low & middle income,,1996,,,,,64891760,45248140
Low & middle income,,1997,,,,,64916404,45816188
Low & middle income,,1998,87895544,78202720,51907256,43419268,63538736,44955312
Low & middle income,,1999,88790344,79065568,53502544,44689076,60258224,43474344
Low & middle income,,2000,89354128,80578552,52740828,44305528,56710832,41125460
Low & middle income,,2001,89967920,82463608,51523240,44039452,54147456,39590368
Low & middle income,,2002,89754616,83393264,48606548,42321868,49914656,36196392
Low & middle income,,2003,89196576,84733232,43730732,38725664,43014656,34815140
Low & middle income,,2004,88617496,85739464,42338436,38453096,40075232,33584152
Low & middle income,,2005,88260440,86952888,41273672,37382176,39431612,32513612
Low & middle income,,2006,86919216,86088208,39138044,35913364,37482392,31603696
Low & middle income,,2007,83901656,83329776,36529536,33310312,33892504,27678218
Low & middle income,,2008,80373600,80199560,34986816,32754766,32411348,27796768
Low & middle income,,2009,78550736,79079312,33628380,32238610,31888874,29043066
Low & middle income,,2010,75291128,76332816,31140616,30954064,31482100,28561980
Low & middle income,,2011,72148056,73708456,30593544,31054544,30763488,28661706
Low & middle income,,2012,69528152,72126784,29513696,30131648,30385948,27610636
Low & middle income,,2013,68337176,71111008,29326156,31028404,30693644,27776492
Low & middle income,,2014,67650176,71016016,28725880,30717680,30960130,27673628
Low income,,1973,,,,,11776001,9044651
Low income,,1974,,,,,11921455,9187357
Low income,,1975,,,,,11802041,9131474
Low income,,1976,,,,,11674606,9042133
Low income,,1977,,,,,11514317,8924188
Low income,,1978,,,,,11524246,8933381
Low income,,1979,,,,,11547424,8987333
Low income,,1980,,,,,11261353,8730107
Low income,,1981,,,,,11523607,8685660
Low income,,1982,,,,,11988442,9061679
Low income,,1983,,,,,12080576,9112159
Low income,,1984,,,,,12447794,9430859
Low income,,1985,,,,,12860519,9742670
Low income,,1986,,,,,13119202,10017979
Low income,,1987,,,,,13899423,10680200
Low income,,1988,,,,,14257317,11098043
Low income,,1989,,,,,14814893,11755751
Low income,,1990,,,,,15541630,12521109
Low income,,1991,,,,,15540202,12647246
Low income,,1992,,,,,16202734,13414929
Low income,,1993,,,,,16713392,13947576
Low income,,1994,,,7644593,5709095,16904800,14150293
Low income,,1995,,,7693510,5708987,16811788,13802209
Low income,,1996,,,7894119,5824894,17252660,14082721
Low income,,1997,,,8043256,5896603,16892156,13655033
Low income,,1998,10005940,8707256,9469297,6931369,17289652,14121511
Low income,,1999,10060888,8745279,9683008,7034681,17581910,14729116
Low income,,2000,10308226,9028733,9804999,7052274,17289256,14350496
Low income,,2001,10542457,9131028,9950036,7051368,16835276,13808372
Low income,,2002,10693241,9201106,9509204,6771118,15742728,12867476
Low income,,2003,10898210,9410363,9304046,6764607,14914323,12035114
Low income,,2004,11083750,9564010,9241767,6837521,14199174,11505888
Low income,,2005,11157370,9596764,9287424,6847561,13579867,10779537
Low income,,2006,11236274,9664602,9029616,6774582,12600703,10062578
Low income,,2007,11335260,9725067,8973375,6708600,12172297,9586490
Low income,,2008,11247880,9589599,8750863,6681422,11218148,8642417
Low income,,2009,11291812,9669281,8658489,6799634,11190951,8806932
Low income,,2010,11375824,9755893,8559550,6827551,11600016,9262234
Low income,,2011,11604510,10007454,8977389,7252711,11307488,8933907
Low income,,2012,11760677,10232486,9017640,7423592,11061239,8768023
Low income,,2013,12246030,10735809,9598438,8052923,10868788,8509488
Low income,,2014,12366002,10855940,9447688,7942767,10838949,8587123
Lower middle income,,1970,,,,,39270016,24731676
Lower middle income,,1971,,,,,40426280,24865688
Lower middle income,,1972,,,,,40249244,24290424
Lower middle income,,1973,,,,,39130340,23288576
Lower middle income,,1974,,,,,40156636,23610488
Lower middle income,,1975,,,,,39198036,23370876
Lower middle income,,1976,,,,,39117808,23132080
Lower middle income,,1977,,,,,38144712,21913034
Lower middle income,,1978,,,,,39665928,22206916
Lower middle income,,1979,,,,,39599156,21780458
Lower middle income,,1980,,,,,38947108,21264784
Lower middle income,,1981,,,,,38042596,20692680
Lower middle income,,1982,,,,,36899384,19940360
Lower middle income,,1983,,,,,36439392,19553292
Lower middle income,,1984,,,,,36209420,19613936
Lower middle income,,1985,,,,,37098396,20103696
Lower middle income,,1986,,,,,37287124,20454740
Lower middle income,,1987,,,,,38926544,20960924
Lower middle income,,1988,,,,,38108680,20619572
Lower middle income,,1989,,,,,37133812,20373944
Lower middle income,,1990,,,,,38235272,20850148
Lower middle income,,1991,,,,,38574792,21220508
Lower middle income,,1992,,,,,38802876,21466726
Lower middle income,,1993,,,,,37499680,21176276
Lower middle income,,1994,,,,,36201240,20808906
Lower middle income,,1995,,,,,37017896,21511024
Lower middle income,,1996,,,,,37034152,22148078
Lower middle income,,1997,,,,,36873584,22151360
Lower middle income,,1998,,,,,37237192,22450596
Lower middle income,,1999,56494892,52125232,31706368,25701160,35757544,22115100
Lower middle income,,2000,56878496,52652216,31128548,25530872,33170210,20714112
Lower middle income,,2001,57501132,53770728,30343688,25592540,31935400,20816164
Lower middle income,,2002,56539776,53080988,29313802,25583208,31404134,21298612
Lower middle income,,2003,55567424,52704892,26734136,24151512,25163542,20551016
Lower middle income,,2004,54987352,52380972,25523504,23279360,23135360,19826776
Lower middle income,,2005,55236320,52917856,24722064,22732222,21487642,17062700
Lower middle income,,2006,54741904,52595200,23920962,22435400,20118144,16222761
Lower middle income,,2007,53603068,51548644,22388110,21138316,17323484,13226518
Lower middle income,,2008,51868240,50284552,21690336,21223376,17213348,14966527
Lower middle income,,2009,51493204,50635148,20801698,21050852,16842440,15954588
Lower middle income,,2010,49714996,49612020,18454644,19854820,15914849,15063614
Lower middle income,,2011,47705620,48052872,17697336,19691560,15414520,15671453
Lower middle income,,2012,46204664,47185640,16478407,18697400,15196657,14481272
Lower middle income,,2013,45156784,46140204,15933436,18911930,15404347,14806121
Lower middle income,,2014,45230256,46522128,15557955,18846980,15744947,14631659
Luxembourg,LUX,1972,,,1098,1565,1259,1518
Luxembourg,LUX,1973,,,1137,1851,1394,1756
Luxembourg,LUX,1974,,,886,1936,1145,1303
Luxembourg,LUX,1975,,,920,2012,1280,1445
Luxembourg,LUX,1976,,,883,1861,1316,1494
Luxembourg,LUX,1977,,,913,1231,1276,1687
Luxembourg,LUX,1978,,,,,1330,1697
Luxembourg,LUX,1981,,,,,2824,3007
Luxembourg,LUX,1982,,,1118,1213,1932,2218
Luxembourg,LUX,1983,,,1145,1218,2095,2243
Luxembourg,LUX,1984,,,932,1038,2171,2402
Luxembourg,LUX,1986,,,1057,1106,2109,2376
Luxembourg,LUX,1987,,,888,1126,2479,2807
Luxembourg,LUX,1988,,,1512,2087,1682,2071
Luxembourg,LUX,1999,1371,1994,410,549,248,592
Luxembourg,LUX,2000,1408,2052,300,495,281,659
Luxembourg,LUX,2001,1308,2033,851,1200,482,602
Luxembourg,LUX,2002,1479,2065,953,1257,471,546
Luxembourg,LUX,2003,1539,2102,935,1226,645,772
Luxembourg,LUX,2004,1516,2298,1106,1163,531,674
Luxembourg,LUX,2005,1724,2516,318,445,293,487
Luxembourg,LUX,2006,1676,2323,320,447,201,409
Luxembourg,LUX,2007,1824,2234,289,412,205,373
Luxembourg,LUX,2008,1822,2151,166,381,310,531
Luxembourg,LUX,2010,1687,2035,38,275,669,1029
Luxembourg,LUX,2011,1658,2326,169,305,762,1193
Luxembourg,LUX,2012,1758,2483,283,373,696,903
Luxembourg,LUX,2013,1936,2427,422,595,686,1063
Macao,MAC,1990,,,1193,1106,2343,2399
Macao,MAC,1992,,,932,963,2143,2030
Macao,MAC,1999,2932,2486,1017,865,,
Macao,MAC,2000,2621,2103,356,642,,
Macao,MAC,2001,2053,1969,78,905,,
Macao,MAC,2002,1679,1649,,,,
Macao,MAC,2003,1129,1277,179,531,,
Macao,MAC,2004,432,710,334,494,,
Macao,MAC,2005,,,452,525,,
Macao,MAC,2006,,,473,681,,
Macao,MAC,2007,1265,1253,798,818,,
Macao,MAC,2008,2140,2124,875,915,,
Macao,MAC,2009,2250,2489,935,946,,
Macao,MAC,2010,1350,1715,930,924,,
Macao,MAC,2011,1681,1822,922,922,,
Macao,MAC,2012,1678,1821,1015,1167,,
Macao,MAC,2013,1680,1874,979,1165,,
Macao,MAC,2014,1700,1862,905,1102,,
Macedonia,MKD,1998,,,,,3759,2215
Macedonia,MKD,1999,,,,,3934,2347
Macedonia,MKD,2000,,,,,2102,1208
Macedonia,MKD,2001,,,,,1641,1223
Macedonia,MKD,2002,,,,,2298,2355
Macedonia,MKD,2003,,,,,3361,3197
Macedonia,MKD,2004,,,,,3669,3045
Macedonia,MKD,2005,18925,17467,2289,2119,4098,3360
Macedonia,MKD,2006,,,,,5119,4441
Macedonia,MKD,2007,,,,,5684,4968
Macedonia,MKD,2008,,,,,7584,7324
Macedonia,MKD,2009,,,,,6915,6373
Macedonia,MKD,2010,,,,,4546,4049
Macedonia,MKD,2012,,,,,7575,7069
Madagascar,MDG,1972,,,,,208174,161408
Madagascar,MDG,1989,,,,,264889,253360
Madagascar,MDG,1990,,,,,263135,258220
Madagascar,MDG,1995,,,,,368240,422052
Madagascar,MDG,1996,,,,,404586,407385
Madagascar,MDG,1999,,,,,388737,394584
Madagascar,MDG,2000,,,,,382214,389529
Madagascar,MDG,2001,381549,361446,352480,324242,375192,383273
Madagascar,MDG,2002,,,,,376630,384888
Madagascar,MDG,2003,412682,388203,336485,300203,273476,276209
Malawi,MWI,1999,195377,177263,,,47898,15707
Malawi,MWI,2002,233268,221136,134707,60052,,
Malawi,MWI,2004,256254,244806,174170,119212,,
Malawi,MWI,2005,240909,211204,231363,200551,,
Malawi,MWI,2006,240847,211224,212437,192440,891,54269
Malawi,MWI,2007,245436,207626,172759,148805,48564,113693
Malawi,MWI,2008,246782,206365,149008,126946,,
Malawi,MWI,2009,243590,209827,164463,154695,,
Malawi,MWI,2013,258880,227211,156739,151180,,
Malawi,MWI,2014,227728,204661,164521,162791,,
Maldives,MDV,1997,,,,,1389,1424
Maldives,MDV,1999,2950,3357,1243,1450,1215,1362
Maldives,MDV,2000,2852,3298,694,938,681,952
Maldives,MDV,2001,,,600,958,345,826
Maldives,MDV,2002,2428,2697,1069,1151,368,824
Maldives,MDV,2005,,,,,397,501
Maldives,MDV,2006,,,,,544,487
Maldives,MDV,2007,,,,,689,829
Maldives,MDV,2008,,,,,1799,1808
Maldives,MDV,2009,,,,,903,612
Mali,MLI,1971,,,179427,163716,374392,347796
Mali,MLI,1999,,,,,533747,434805
Mali,MLI,2002,,,,,506461,406041
Mali,MLI,2003,,,,,522929,419616
Mali,MLI,2004,,,,,517836,455948
Mali,MLI,2005,,,,,504275,398154
Mali,MLI,2006,,,,,500772,400266
Mali,MLI,2007,,,,,491945,390944
Mali,MLI,2009,351501,319881,301341,232644,445720,333120
Mali,MLI,2010,358079,328512,301318,235821,443264,335977
Mali,MLI,2011,368774,338719,296802,228692,440172,338782
Mali,MLI,2012,,,,,478514,384049
Mali,MLI,2014,383059,344388,296887,247529,553371,476301
Malta,MLT,1971,,,4069,4278,3099,3516
Malta,MLT,1972,,,3362,3324,3007,3071
Malta,MLT,1973,,,,,2816,3020
Malta,MLT,1974,,,,,2309,2616
Malta,MLT,1975,,,,,1744,1876
Malta,MLT,1976,,,1300,1682,953,841
Malta,MLT,1977,,,,,77,142
Malta,MLT,1981,,,,,576,189
Malta,MLT,1982,,,,,475,554
Malta,MLT,1983,,,,,1154,725
Malta,MLT,1984,,,,,1121,811
Malta,MLT,1985,,,,,803,469
Malta,MLT,1986,,,,,974,824
Malta,MLT,1987,,,,,1295,1187
Malta,MLT,1988,,,,,1157,1264
Malta,MLT,1989,,,,,756,968
Malta,MLT,1990,,,,,298,511
Malta,MLT,1991,,,,,80,138
Malta,MLT,1994,,,,,557,490
Malta,MLT,1995,,,,,840,590
Malta,MLT,1996,,,,,680,814
Malta,MLT,1997,,,,,698,1000
Malta,MLT,2011,,,,,2171,754
Malta,MLT,2012,2958,1317,1362,458,1962,637
Malta,MLT,2013,2993,1529,1456,497,1392,393
Malta,MLT,2014,2793,1641,1360,419,723,118
Marshall Islands,MHL,2002,868,890,,,92,51
Mauritania,MRT,1994,,,,,102625,90917
Mauritania,MRT,1995,,,,,94145,80640
Mauritania,MRT,1996,,,,,88690,77948
Mauritania,MRT,1998,,,,,83087,78845
Mauritania,MRT,1999,,,,,85136,83781
Mauritania,MRT,2000,,,,,86978,85785
Mauritania,MRT,2001,68523,67310,54343,52577,82682,80024
Mauritania,MRT,2002,71412,69699,54603,53362,84337,85930
Mauritania,MRT,2003,,,,,79114,82126
Mauritania,MRT,2004,77628,77573,57169,56689,64157,69111
Mauritania,MRT,2005,76420,76664,55456,57559,68211,75240
Mauritania,MRT,2006,79435,79894,59580,61781,64090,70035
Mauritania,MRT,2007,,,,,63067,70615
Mauritania,MRT,2008,,,,,72718,82584
Mauritania,MRT,2009,,,,,77131,85644
Mauritania,MRT,2010,,,,,77449,86763
Mauritania,MRT,2011,,,,,76150,88206
Mauritania,MRT,2012,96349,96109,53045,49262,79230,94913
Mauritania,MRT,2013,87700,86368,73236,73902,74560,86599
Mauritania,MRT,2014,89039,88820,71476,76086,69010,81624
Mauritius,MUS,1972,,,,,16976,17918
Mauritius,MUS,1973,,,,,16424,16953
Mauritius,MUS,1974,,,,,15711,15650
Mauritius,MUS,1975,,,,,14637,14090
Mauritius,MUS,1976,,,,,14306,13437
Mauritius,MUS,1977,,,,,11905,10664
Mauritius,MUS,1978,,,,,13409,12283
Mauritius,MUS,1979,,,,,15287,14268
Mauritius,MUS,1980,,,,,14807,14014
Mauritius,MUS,1981,,,,,12074,11793
Mauritius,MUS,1982,,,14397,13523,7979,7518
Mauritius,MUS,1983,,,,,5781,5334
Mauritius,MUS,1984,,,,,3357,3426
Mauritius,MUS,1986,,,,,841,1176
Mauritius,MUS,1990,,,,,1331,2140
Mauritius,MUS,1991,,,,,3993,5012
Mauritius,MUS,1993,,,,,3884,4754
Mauritius,MUS,1994,,,,,3424,3962
Mauritius,MUS,1995,,,,,2872,3361
Mauritius,MUS,1996,,,,,1710,1841
Mauritius,MUS,1997,,,,,1206,1302
Mauritius,MUS,1998,13899,14812,5591,6196,2389,2675
Mauritius,MUS,1999,13389,13037,4445,5038,4391,4782
Mauritius,MUS,2000,13283,11471,3184,3798,4240,4520
Mauritius,MUS,2001,12457,11108,2735,2758,4382,5110
Mauritius,MUS,2002,10394,9309,3207,4439,3237,4153
Mauritius,MUS,2003,,,,,3449,4567
Mauritius,MUS,2004,8232,7103,1872,2756,3000,3952
Mauritius,MUS,2005,,,,,2017,2746
Mauritius,MUS,2006,,,,,1892,2742
Mauritius,MUS,2007,,,,,1616,2413
Mauritius,MUS,2008,,,,,1638,2203
Mauritius,MUS,2009,,,,,1451,2378
Mauritius,MUS,2010,,,,,1362,2627
Mauritius,MUS,2011,,,,,1139,2538
Mauritius,MUS,2012,,,,,2725,3936
Mauritius,MUS,2013,,,,,1306,2603
Mauritius,MUS,2014,,,,,1201,2338
Mexico,MEX,1971,,,,,948418,914679
Mexico,MEX,1997,,,,,296837,312557
Mexico,MEX,1998,,,,,292380,322763
Mexico,MEX,1999,1851857,1771856,624088,514751,90005,150854
Mexico,MEX,2000,1814859,1756845,631367,555782,64375,132765
Mexico,MEX,2001,,,,,76152,144482
Mexico,MEX,2002,1668927,1706491,467066,470143,36241,98027
Mexico,MEX,2003,1591213,1671813,356434,380255,79754,135911
Mexico,MEX,2004,1532821,1640570,318444,351755,157377,214048
Mexico,MEX,2005,1440848,1586670,328834,360407,252534,300406
Mexico,MEX,2006,1454377,1613956,274039,320648,322467,371169
Mexico,MEX,2007,1419447,1594513,258303,314212,347760,391256
Mexico,MEX,2008,1410456,1595367,280936,344582,356807,392898
Mexico,MEX,2009,1428853,1608753,330088,395672,309685,351796
Mexico,MEX,2010,1417282,1577844,422802,475304,243397,294952
Mexico,MEX,2011,1462204,1603656,469984,510758,182144,244256
Mexico,MEX,2012,1431435,1552286,484255,520800,137703,203797
Mexico,MEX,2013,,,,,141671,215078
Mexico,MEX,2014,,,,,128037,212025
Micronesia (country),FSM,2014,,,,,826,1071
Middle East & North Africa,,1970,,,,,5421521,2513785
Middle East & North Africa,,1971,,,,,5588587,2586583
Middle East & North Africa,,1972,,,,,5215113,2391575
Middle East & North Africa,,1973,,,,,5160576,2348183
Middle East & North Africa,,1974,,,,,5170629,2308976
Middle East & North Africa,,1975,,,,,4853620,2210607
Middle East & North Africa,,1976,,,,,4617176,2024465
Middle East & North Africa,,1977,,,,,4473184,1949980
Middle East & North Africa,,1978,,,,,4367602,1888557
Middle East & North Africa,,1979,,,,,4597032,1963006
Middle East & North Africa,,1980,,,,,4231434,1825653
Middle East & North Africa,,1981,,,,,4375250,1890558
Middle East & North Africa,,1982,,,,,4209439,1868674
Middle East & North Africa,,1983,,,,,4177056,1883459
Middle East & North Africa,,1984,,,,,4083689,1811319
Middle East & North Africa,,1985,,,,,4116293,1898465
Middle East & North Africa,,1986,,,,,4071090,1908716
Middle East & North Africa,,1987,,,,,4018794,1884018
Middle East & North Africa,,1988,,,,,3968465,1940525
Middle East & North Africa,,1989,,,,,4080754,2069243
Middle East & North Africa,,1990,,,,,3677387,1759651
Middle East & North Africa,,1991,,,,,3594127,1773493
Middle East & North Africa,,1992,,,,,4286114,2131118
Middle East & North Africa,,1993,,,2924799,1854548,4295194,2220240
Middle East & North Africa,,1994,,,3009403,1922901,3933071,2098773
Middle East & North Africa,,1995,,,3162278,2047680,4321976,2308320
Middle East & North Africa,,1996,,,3084198,2042726,3831468,2162020
Middle East & North Africa,,1997,,,3048172,2051800,3889559,2167219
Middle East & North Africa,,1998,,,3025760,2071627,3841194,2282240
Middle East & North Africa,,1999,,,2955132,2045590,3727461,2359357
Middle East & North Africa,,2000,,,2900584,2021172,3470873,2212758
Middle East & North Africa,,2001,,,2794161,1970171,2921893,1704285
Middle East & North Africa,,2002,,,2612033,1863270,2436265,1313644
Middle East & North Africa,,2003,,,2529300,1821871,2133951,1163029
Middle East & North Africa,,2004,,,2369955,1642104,1865345,912338
Middle East & North Africa,,2005,,,2216314,1497093,1814962,888520
Middle East & North Africa,,2006,,,2089593,1401305,1723184,844149
Middle East & North Africa,,2007,,,2087047,1363682,1478754,757100
Middle East & North Africa,,2008,4753517,4475967,1930054,1254639,1396817,703107
Middle East & North Africa,,2009,4527448,4245808,1671089,1115136,1307054,619218
Middle East & North Africa,,2010,4381068,4124944,1599240,1088952,1145740,478711
Middle East & North Africa,,2011,3868013,3616833,1442688,921933,1115346,411057
Middle East & North Africa,,2012,3547535,3234910,1328728,855006,1085366,407077
Middle East & North Africa,,2013,3601240,3240832,1718114,1278905,1271598,747359
Middle East & North Africa,,2014,3453764,3215924,1569664,1171089,1396017,889184
Middle East & North Africa (all income levels),,1970,,,,,5834533,2804929
Middle East & North Africa (all income levels),,1971,,,,,6019612,2890418
Middle East & North Africa (all income levels),,1972,,,,,5656616,2703368
Middle East & North Africa (all income levels),,1973,,,,,5616500,2669226
Middle East & North Africa (all income levels),,1974,,,,,5644814,2638825
Middle East & North Africa (all income levels),,1975,,,,,5343884,2547110
Middle East & North Africa (all income levels),,1976,,,,,5124491,2374756
Middle East & North Africa (all income levels),,1977,,,,,4998234,2308620
Middle East & North Africa (all income levels),,1978,,,,,4917100,2256868
Middle East & North Africa (all income levels),,1979,,,,,5182403,2356506
Middle East & North Africa (all income levels),,1980,,,,,4838178,2242127
Middle East & North Africa (all income levels),,1981,,,,,5012319,2333468
Middle East & North Africa (all income levels),,1982,,,,,4866911,2331565
Middle East & North Africa (all income levels),,1983,,,,,4851378,2367249
Middle East & North Africa (all income levels),,1984,,,,,4767146,2307777
Middle East & North Africa (all income levels),,1985,,,,,4807346,2409197
Middle East & North Africa (all income levels),,1986,,,,,4758793,2427702
Middle East & North Africa (all income levels),,1987,,,,,4711258,2406205
Middle East & North Africa (all income levels),,1988,,,,,4667062,2471102
Middle East & North Africa (all income levels),,1989,,,,,4789285,2612254
Middle East & North Africa (all income levels),,1990,,,,,4397460,2320569
Middle East & North Africa (all income levels),,1991,,,,,4343294,2369321
Middle East & North Africa (all income levels),,1992,,,,,5041466,2736482
Middle East & North Africa (all income levels),,1993,,,3073039,1945436,5035876,2824499
Middle East & North Africa (all income levels),,1994,,,3175431,2025798,4654967,2695805
Middle East & North Africa (all income levels),,1995,,,3326875,2147942,5013174,2885148
Middle East & North Africa (all income levels),,1996,,,3258995,2147985,4488298,2713293
Middle East & North Africa (all income levels),,1997,,,3218371,2161194,4509475,2701314
Middle East & North Africa (all income levels),,1998,,,3191794,2176806,4418349,2782857
Middle East & North Africa (all income levels),,1999,,,3113979,2146685,4279905,2846871
Middle East & North Africa (all income levels),,2000,,,3057705,2117922,3998118,2679827
Middle East & North Africa (all income levels),,2001,,,2955402,2071564,3421650,2150596
Middle East & North Africa (all income levels),,2002,,,2779199,1965405,2914349,1737181
Middle East & North Africa (all income levels),,2003,,,2701831,1926908,2590342,1567359
Middle East & North Africa (all income levels),,2004,,,2544110,1747206,2300510,1293943
Middle East & North Africa (all income levels),,2005,,,2394049,1604761,2230440,1249946
Middle East & North Africa (all income levels),,2006,,,2261057,1509034,2131954,1203423
Middle East & North Africa (all income levels),,2007,,,2242254,1461039,1855283,1083407
Middle East & North Africa (all income levels),,2008,4954235,4736375,2066645,1340276,1739063,1008845
Middle East & North Africa (all income levels),,2009,4711442,4484717,1780315,1182636,1601866,903840
Middle East & North Africa (all income levels),,2010,4551745,4333330,1707832,1152782,1331083,684283
Middle East & North Africa (all income levels),,2011,4024509,3799298,1551213,985710,1289235,614079
Middle East & North Africa (all income levels),,2012,3699930,3413900,1431442,918516,1209035,570619
Middle East & North Africa (all income levels),,2013,3747509,3410952,1817695,1336666,1383037,826584
Middle East & North Africa (all income levels),,2014,3584012,3370762,1656684,1225515,1505244,953208
Middle income,,1970,,,,,62811008,33543912
Middle income,,1971,,,,,65462456,34005636
Middle income,,1972,,,,,64722244,33273856
Middle income,,1973,,,,,59364856,31433274
Middle income,,1974,,,,,58314040,31284624
Middle income,,1975,,,,,55950800,30813288
Middle income,,1976,,,,,56038604,30514040
Middle income,,1977,,,,,59274468,30011820
Middle income,,1978,,,,,65972944,31302508
Middle income,,1979,,,,,66676944,30505890
Middle income,,1980,,,,,65120084,29687418
Middle income,,1981,,,,,62766156,28864796
Middle income,,1982,,,,,61543312,28246048
Middle income,,1983,,,,,60677224,27951898
